cohort,mds1,mds2,generation,toxicity
seq,0.590732,0.210624,8,0.031400
seq,-0.152747,0.142078,16,0.054300
seq,0.047655,0.167015,17,0.017000
seq,0.195271,-0.102451,20,0.044400
seq,0.148781,-0.347605,22,0.045100
seq,-0.344729,-0.376801,23,0.110000
seq,-0.493738,-0.091849,26,0.034500
seq,-0.078482,-0.225561,33,0.038000
seq,-0.326684,0.135512,37,0.016800
seq,0.114454,-0.057847,46,0.026900
seq,0.701897,0.186815,47,0.029300
seq,-0.084888,-0.180516,49,0.074500
seq,0.493229,-0.201341,49,0.018600
seq,0.273863,0.009566,53,0.044400
seq,0.146065,-0.251163,41,0.021900
seq,0.232616,-0.262640,53,0.015800
seq,0.664653,-0.258898,54,0.013500
seq,0.702656,-0.131451,54,0.022000
seq,0.573820,-0.180991,54,0.031200
seq,0.652077,-0.208293,54,0.065800
seq,-0.178752,0.307815,0,0.052100
seq,0.037163,0.295570,56,0.046900
seq,-0.233003,0.164340,56,0.028900
seq,0.191886,0.350028,56,0.055800
seq,-0.202555,-0.184563,57,0.154400
seq,-0.218454,-0.179627,57,0.098300
seq,-0.121272,-0.679572,58,0.050100
seq,-0.166841,-0.230465,58,0.110800
seq,-0.122177,-0.547038,58,0.047600
seq,-0.090005,-0.534172,58,0.029800
seq,-0.034276,-0.706594,58,0.033300
seq,-0.165359,-0.221742,58,0.030900
seq,-0.218778,-0.294333,58,0.025300
seq,-0.239314,-0.194258,58,0.024800
seq,-0.157663,-0.240867,58,0.047400
seq,-0.049927,0.378057,58,0.019200
seq,0.210662,-0.529589,59,0.024600
seq,0.212579,0.027778,60,0.112000
seq,0.283577,-0.244910,60,0.015300
seq,0.215513,0.040855,60,0.157700
seq,-0.558860,0.086745,60,0.343300
seq,0.214928,0.037428,60,0.219100
seq,0.283244,-0.244132,60,0.046900
seq,0.283919,-0.143202,60,0.028900
seq,0.210658,0.036805,60,0.150500
seq,-0.385536,0.156956,60,0.128700
seq,0.210626,0.037083,60,0.247600
seq,-0.383887,0.159044,60,0.040900
seq,-0.375801,0.159713,60,0.305000
seq,0.159580,-0.293688,2,0.045400
seq,-0.112217,-0.147899,51,0.286700
seq,0.057248,-0.309432,0,0.019400
seq,0.479288,-0.191937,0,0.012600
seq,0.414131,-0.448660,24,0.011900
seq,-0.386810,0.044124,57,0.329200
seq,-0.491415,0.201805,61,0.316900
seq,-0.579075,0.144857,61,0.390200
seq,0.038858,-0.631464,62,0.025200
seq,0.048466,-0.632833,62,0.022400
seq,0.047656,-0.634951,62,0.019200
seq,-0.185969,0.429622,63,0.041400
seq,0.135431,0.470183,1,0.029200
seq,-0.256252,0.316593,63,0.065800
seq,-0.160784,0.324177,3,0.046600
seq,-0.223560,0.371017,63,0.113000
seq,-0.251328,0.419344,63,0.198700
seq,0.197647,0.002317,10,0.019200
seq,0.214177,0.030007,20,0.021700
seq,0.193659,0.031318,15,0.020700
seq,0.140793,-0.096802,10,0.019200
seq,0.151783,-0.001709,15,0.022800
seq,0.374062,0.380989,16,0.025700
seq,0.143055,-0.014070,11,0.024700
seq,0.240371,0.043306,16,0.023700
seq,0.071061,0.047360,16,0.030600
seq,0.141640,-0.009718,15,0.026500
seq,0.219121,0.049944,15,0.026400
seq,0.143097,0.022885,15,0.026000
seq,-0.703452,-0.068984,0,0.016600
seq,-0.633795,-0.105834,31,0.016600
seq,-0.471361,0.182794,31,0.016300
seq,-0.587031,-0.008291,32,0.015900
seq,-0.374596,0.108861,33,0.015400
seq,-0.500745,-0.122179,34,0.015400
seq,-0.443132,0.091890,31,0.014100
seq,-0.593722,-0.029988,31,0.013500
seq,-0.349429,0.286618,19,0.013000
seq,-0.508582,0.066063,35,0.012900
seq,-0.653776,-0.094514,32,0.011800
seq,-0.700860,-0.082567,32,0.010800
seq,-0.500174,0.130903,33,0.010000
seq,-0.369901,0.192957,31,0.019000
seq,-0.610852,-0.030236,33,0.019000
seq,-0.204965,0.282616,34,0.018800
seq,-0.494613,0.132175,32,0.018500
seq,-0.681767,-0.076025,37,0.018000
seq,-0.417385,-0.006584,31,0.017800
seq,-0.465497,-0.056483,37,0.017800
seq,-0.382566,0.184720,28,0.017700
seq,-0.382304,0.184751,31,0.017300
seq,-0.554990,-0.051967,34,0.017300
seq,-0.567891,-0.147532,34,0.017100
seq,-0.532852,0.072678,31,0.016700
seq,-0.226375,0.041578,37,0.015800
seq,-0.291463,0.206709,34,0.021000
seq,-0.430363,0.137633,37,0.020800
seq,-0.472676,0.069266,37,0.020700
seq,-0.481042,0.115961,35,0.020500
seq,-0.423464,0.163414,33,0.020200
seq,-0.547241,-0.061263,37,0.020100
seq,-0.425515,0.029708,37,0.019900
seq,-0.592363,0.070714,32,0.019700
seq,-0.486113,0.146399,37,0.019700
seq,-0.536075,-0.108198,37,0.019500
seq,-0.609852,0.037535,35,0.019400
seq,-0.352866,0.101172,38,0.018500
seq,-0.346411,0.101955,38,0.018300
seq,-0.657777,0.089363,38,0.018100
seq,0.543216,0.216805,38,0.017700
seq,-0.371940,0.114337,38,0.017100
seq,-0.332192,0.157189,38,0.014700
seq,-0.519410,0.047434,35,0.022600
seq,-0.534029,0.108334,35,0.022000
seq,-0.593673,-0.015913,38,0.022000
seq,-0.276676,-0.174422,34,0.021800
seq,-0.483902,0.007090,35,0.021800
seq,0.064117,0.143433,34,0.021500
seq,-0.688440,0.108129,36,0.021300
seq,-0.610894,0.109426,39,0.021300
seq,-0.587992,0.158129,39,0.021100
seq,-0.448639,-0.023248,19,0.021000
seq,-0.644191,-0.096080,32,0.021000
seq,-0.552303,0.007774,39,0.019500
seq,-0.621269,0.126836,39,0.010600
seq,-0.634490,-0.112709,5,0.029100
seq,-0.326703,0.433600,34,0.022700
seq,-0.680479,0.104905,36,0.022700
seq,-0.333750,0.145753,33,0.022600
seq,-0.368540,0.170487,40,0.017700
seq,-0.346961,0.101829,32,0.023300
seq,-0.589334,0.098603,36,0.022800
seq,-0.785570,0.097572,38,0.022800
seq,-0.547668,0.132910,50,0.020500
seq,-0.704517,0.031621,47,0.019600
seq,-0.330419,0.215278,47,0.021500
seq,-0.380147,0.165952,49,0.021100
seq,0.208766,0.029216,22,0.035200
seq,0.197550,0.012614,10,0.034000
seq,0.221663,0.044535,5,0.033800
seq,-0.532673,0.124758,47,0.023200
seq,-0.776735,0.169752,47,0.023100
seq,-0.602069,0.062961,47,0.022500
seq,-0.665256,0.073199,51,0.021700
seq,-0.390581,0.194420,52,0.019600
seq,-0.605308,-0.123760,31,0.023300
seq,-0.580805,0.096008,36,0.024600
seq,-0.534955,0.096031,36,0.023900
seq,-0.574400,0.107853,36,0.023800
seq,-0.664088,0.119612,38,0.023800
