generation,active_species_count,species_count,reserves_size,max_score_variants,avg_fitness,avg_fitness_variants,elites_count,archived_count,speciation_events,merge_events,extinction_events,collapsed_to_one
27,3,3,478,0.3923,0.0824,0.0621,202,9,3,3,0,False
28,7,7,210,0.1633,0.0829,0.0552,478,0,7,1,0,False
29,5,5,446,0.0432,0.0822,0.0231,210,40,5,3,0,False
30,7,7,215,0.1114,0.0857,0.068,446,0,7,2,0,False
31,5,5,446,0.0336,0.085,0.024,215,7,5,2,0,False
32,7,7,232,0.4235,0.0874,0.1538,446,0,7,2,0,False
33,5,5,451,0.4348,0.0886,0.1517,232,8,5,2,0,False
34,7,7,238,0.3048,0.0899,0.1512,451,0,7,2,0,False
35,5,5,454,0.4439,0.0895,0.0738,238,11,5,2,0,False
36,8,8,159,0.1137,0.09,0.0505,540,0,7,2,0,False
37,4,4,518,0.1111,0.0896,0.0445,156,31,4,4,0,False
38,8,8,164,0.0399,0.0923,0.0228,518,0,8,2,0,False
39,4,4,474,0.1026,0.0916,0.0506,164,55,4,4,0,False
40,8,8,174,0.1374,0.0954,0.0417,474,0,8,2,0,False
41,6,6,479,0.061,0.0946,0.0396,174,5,6,4,0,False
42,8,8,187,0.4269,0.0957,0.1285,479,0,8,2,0,False
43,6,6,480,0.3476,0.0953,0.0608,187,7,6,4,0,False
44,8,8,196,0.3775,0.0971,0.1729,480,0,8,3,0,False
45,6,6,484,0.0417,0.0963,0.0304,196,4,6,4,0,False
46,8,8,206,0.44,0.0983,0.2104,484,0,8,2,0,False
47,6,6,492,0.4555,0.0999,0.1814,206,5,6,4,0,False
48,8,8,214,0.0533,0.0997,0.0281,492,0,8,2,0,False
49,6,6,483,0.3113,0.0989,0.0523,214,21,6,4,0,False
50,8,8,224,0.2022,0.0998,0.0439,483,0,8,2,0,False
51,6,6,487,0.3972,0.0998,0.0993,224,5,6,4,0,False
52,8,8,233,0.3775,0.1017,0.2283,487,0,8,2,0,False
53,6,6,489,0.1931,0.1012,0.0536,233,5,6,4,0,False
54,9,9,204,0.1145,0.1008,0.0527,531,0,8,2,0,False
55,5,5,487,0.3666,0.1002,0.0734,204,61,5,4,0,False
56,8,8,206,0.1139,0.1067,0.0645,487,0,8,2,0,False
57,5,5,488,0.3775,0.1065,0.0973,206,8,5,4,0,False
58,8,8,220,0.4509,0.1073,0.1205,488,0,8,2,0,False
59,5,5,492,0.4015,0.1094,0.2158,220,10,5,4,0,False
60,8,8,234,0.4398,0.1107,0.1705,492,0,8,2,0,False
61,5,5,503,0.4269,0.1116,0.1525,234,6,5,4,0,False
62,8,8,253,0.4269,0.112,0.1217,503,0,8,2,0,False
63,4,4,509,0.4269,0.1133,0.1831,251,10,4,4,0,False
64,9,9,267,0.3999,0.1156,0.2183,509,0,9,2,0,False
65,4,4,511,0.4015,0.1165,0.1841,267,9,4,4,0,False
66,9,9,285,0.4348,0.119,0.212,511,0,9,2,0,False
67,4,4,523,0.4006,0.1197,0.1454,285,8,4,4,0,False
68,9,9,296,0.4013,0.12,0.1454,523,2,9,2,0,False
69,4,4,535,0.4269,0.1201,0.1107,296,5,4,4,0,False
70,9,9,300,0.4213,0.1214,0.2131,535,9,9,2,0,False
71,4,4,545,0.3775,0.1226,0.1297,300,7,4,4,0,False
72,10,10,309,0.4323,0.1227,0.1412,545,6,10,2,0,False
73,6,6,550,0.4235,0.1233,0.1184,309,10,6,4,0,False
74,10,10,325,0.6588,0.1235,0.1279,546,0,10,3,0,False
75,6,6,552,0.3972,0.1233,0.1021,325,3,6,4,0,False
76,10,10,334,0.0793,0.1224,0.0343,552,0,10,3,0,False
77,6,6,552,0.361,0.1232,0.1903,334,11,6,4,0,False
78,10,10,345,0.5214,0.1241,0.2075,552,0,10,3,0,False
79,6,6,559,0.3375,0.1238,0.1017,345,7,6,4,0,False
80,9,9,358,0.3902,0.1231,0.0618,557,0,9,3,0,False
81,6,6,557,0.3775,0.1235,0.1706,358,8,6,4,0,False
82,9,9,367,0.3992,0.1228,0.063,557,0,9,3,0,False
83,7,7,568,0.1443,0.1214,0.0372,367,5,7,4,0,False
84,9,9,376,0.5567,0.1214,0.0873,568,5,9,3,0,False
85,7,7,584,0.4015,0.1208,0.0595,376,1,7,3,0,False
86,9,9,380,0.5885,0.1203,0.0869,584,10,9,3,0,False
87,7,7,590,0.0493,0.1198,0.0272,380,10,7,4,0,False
88,9,9,381,0.4712,0.1207,0.1316,590,17,9,3,0,False
89,7,7,594,0.0501,0.1212,0.0291,381,8,7,4,0,False
90,9,9,408,0.7652,0.1232,0.1637,594,0,9,3,0,False
91,7,7,603,0.4299,0.1229,0.1016,408,4,7,4,0,False
92,9,9,400,0.485,0.1227,0.0923,603,15,9,3,0,False
93,7,7,607,0.339,0.1238,0.1016,400,3,7,4,0,False
94,9,9,408,0.0974,0.1231,0.0396,607,1,9,3,0,False
95,7,7,608,0.6588,0.1238,0.1906,408,9,7,4,0,False
96,9,9,424,0.0887,0.1231,0.0473,604,0,9,3,0,False
